timestamp,feedstock,feed_volume_kg,temp_C,pH,VFA_mg_L_HAc,alkalinity_mg_L_CaCO3,methane_pct,TS_pct,VS_pct,CN_ratio,OLR_kg_TVS_m3_d,solar_heating_flag,mixing_flag,gas_leakage_flag,downtime_flag,feed_quality_index,biogas_m3_hour,is_holiday,rapid_temp_spike_flag,overheating_flag,low_quality_feed_flag
2025-01-01 00:00:00+00:00,poultry_manure,0.2985658779607097,31.079612346241106,7.432452055882626,173.78727194323952,2498.749712780557,72.37902004907944,13.631929362108101,87.67990622611893,31.510367064524033,3.1720867324533137,0,1,False,False,0.9767366825442192,0.022800713875520018,True,False,False,False
2025-01-01 01:00:00+00:00,poultry_manure,0.29816424023083155,29.746040010008233,7.395253043655604,190.16512204439726,2410.897248728805,73.72871673952622,9.8925691067552,89.73257025706941,31.63945990886942,2.352676605423228,0,0,False,False,0.9730682464450817,0.015780693123887263,True,False,False,False
2025-01-01 02:00:00+00:00,poultry_manure,0.33432689844217645,30.158851109304308,7.48980691402858,192.34052085228396,2455.6585554736334,75.0,11.4840966245081,89.32910168823685,28.07857317015037,3.0486572542325994,0,0,False,False,0.9782062148240442,0.020529481611411923,True,False,False,False
2025-01-01 03:00:00+00:00,poultry_manure,0.34778545744158484,27.95112821225734,7.380275290492915,223.36101898639222,2531.519047017664,74.00259261729073,11.30635987206502,88.10414756500622,31.492199562082458,3.0794847225485973,0,0,False,False,0.9816098037395005,0.019298007863864902,True,False,False,False
2025-01-01 04:00:00+00:00,poultry_manure,0.41078579961724465,26.858595323248352,7.325312553175097,269.8475546939978,2489.9207680795816,70.70296675634927,14.093162655810762,84.33311943520955,28.090700512761693,4.339798136311749,0,0,False,False,0.9704411918485631,0.027221491823533256,True,False,False,False
2025-01-01 05:00:00+00:00,poultry_manure,0.4687721457445793,25.84798289502481,7.298762638230665,284.853554867739,2555.4097204624563,67.07315442970604,11.475510946345306,90.08019434109143,30.833746606591667,4.307354555685913,0,0,False,False,0.9890400886658098,0.028192556419948934,True,False,False,False
2025-01-01 06:00:00+00:00,poultry_manure,0.5120529521607581,25.564519222156786,7.272226447354984,266.84687476398676,2450.070569963312,63.613136958249854,12.087870931047293,88.03734685870421,28.864148897988592,4.843720914204465,0,0,False,False,0.9882021343246494,0.03112162601051774,True,False,False,False
2025-01-01 07:00:00+00:00,poultry_manure,0.6239617986949626,24.372918804375367,7.29245213787448,311.8266011243393,2453.0134021801837,72.41797079277282,11.323491401451427,87.98989388033588,32.27058385093198,5.526098572854352,0,0,False,False,0.9739116184979374,0.03129899722085324,True,False,False,False
2025-01-01 08:00:00+00:00,poultry_manure,0.6752552202105945,24.5810771396366,7.364004274731397,323.8163498936934,2562.6620872452067,70.30366782035837,10.420021127214646,88.67025682682845,29.837951542569545,5.545771782989337,0,0,False,False,0.9904796210617687,0.032185904491984135,True,False,False,False
2025-01-01 09:00:00+00:00,poultry_manure,0.7471342882458395,24.87670131488248,7.308799887778712,380.76327399938975,2286.817389270288,67.91039020603489,12.034401992441824,87.64724396889362,31.61667783777348,7.0,0,0,False,False,0.983661211660056,0.04033633792757371,True,False,False,False
2025-01-01 10:00:00+00:00,poultry_manure,0.8262786398272669,24.27698124482709,7.323646438122252,349.10381797667526,2817.4901987515655,64.0401021713386,11.203459903279457,84.50991213174065,27.33456320026528,6.953986092881904,1,0,False,False,0.9693629315190501,0.04262153798607338,True,False,False,False
2025-01-01 11:00:00+00:00,poultry_manure,0.8041348826366372,25.051813961036885,7.307534053232582,384.59133240562295,2462.319215836643,72.33298819847087,11.013101348083753,90.41481278076358,32.261106015334526,7.0,1,0,False,False,0.9724544465870735,0.040643393101880976,True,False,False,False
2025-01-01 12:00:00+00:00,poultry_manure,0.9546010900905363,26.157718680304498,7.205984501779009,365.25937526441834,2451.2508151306083,70.13917938032118,11.816929504462173,86.28211462049747,27.81349401038725,7.0,1,1,False,False,0.9772195876261833,0.05338623884549204,True,False,False,False
2025-01-01 13:00:00+00:00,poultry_manure,0.8806734766748796,27.47893007067365,7.468358770094046,345.33814501815,2335.361435230812,67.03980723936648,11.241980888062342,85.09974466755114,30.68574329946132,7.0,1,0,False,False,0.9893524714456985,0.05186967641941631,True,False,False,False
2025-01-01 14:00:00+00:00,poultry_manure,0.9459571042302222,27.5132262101346,7.291913902253708,311.3180920882531,2488.1814252973227,69.28812513103388,11.594149080249949,90.29036647235745,32.710606854744064,7.0,1,0,False,False,0.9708646768538091,0.05747952580419422,True,False,False,False
2025-01-01 15:00:00+00:00,poultry_manure,0.876488969673312,29.32448174978029,7.425326389843632,390.817140436377,2491.0487284957776,69.86467180183011,11.005193316351239,88.10823069676586,29.669065724142506,7.0,1,0,False,False,0.9917166238231813,0.05385955638052639,True,False,False,False
2025-01-01 16:00:00+00:00,poultry_manure,0.8852719750819295,31.2566755668411,7.41388969728283,414.7363710715896,2424.3737964246934,72.90041484825956,11.625540966228272,89.00530545416746,32.43838783169968,7.0,1,0,False,False,0.9737438265141446,0.05949485013246219,True,False,False,False
2025-01-01 17:00:00+00:00,poultry_manure,0.7343167863200919,32.327169004402485,7.377135879632702,334.3157205961341,2557.177445515412,69.92288644785845,12.141951897030053,85.61369622941557,30.26437782446314,6.785200558158007,0,0,False,False,0.9966464622702184,0.05295505753439433,True,False,False,False
